date,open,high,low,close,adj_close,volume,dividends,stock_splits
2019-09-19,302.5,317.625,302.5,317.625,259.58349609375,7109860,0.0,0.0
2019-09-20,332.25,333.5,332.25,333.5,272.5575561523437,2760648,0.0,0.0
2019-09-23,350.17498779296875,350.17498779296875,350.17498779296875,350.17498779296875,286.18536376953125,34096,0.0,0.0
2019-09-24,367.6749877929688,367.6749877929688,367.6749877929688,367.6749877929688,300.4875183105469,2496652,0.0,0.0
2019-09-25,386.0499877929688,386.0499877929688,349.29998779296875,351.23748779296875,287.05377197265625,530580,0.0,0.0
2019-09-26,338.75,367.5,333.6875,334.0375061035156,272.996826171875,78256,0.0,0.0
2019-09-27,333.5,343.75,317.76251220703125,325.01251220703125,265.62109375,7044544,0.0,0.0
2019-09-30,312.88751220703125,341.25,308.76251220703125,308.76251220703125,252.3404998779297,69396,0.0,0.0
2019-10-01,300.75,324.20001220703125,293.32501220703125,318.57501220703125,260.3599548339844,181556,0.0,0.0
2019-10-03,318.57501220703125,324.98748779296875,303.0,322.4375,263.5166320800781,54700,0.0,0.0
2019-10-04,313.01251220703125,323.23748779296875,306.5,319.9375,261.47344970703125,41088,0.0,0.0
2019-10-07,322.45001220703125,324.9624938964844,310.26251220703125,319.8500061035156,261.40191650390625,33696,0.0,0.0
2019-10-09,319.75,322.25,305.0,308.9624938964844,252.5039520263672,63688,0.0,0.0
2019-10-10,300.3125,312.48748779296875,295.25,297.8500061035156,243.4220733642578,17264,0.0,0.0
2019-10-11,298.98748779296875,299.98748779296875,287.5,288.98748779296875,236.17904663085935,82748,0.0,0.0
2019-10-14,287.51251220703125,287.51251220703125,271.25,275.9125061035156,225.4933319091797,78136,0.0,0.0
2019-10-15,271.6499938964844,321.9375,271.63751220703125,280.88751220703125,229.5592193603516,1193280,0.0,0.0
2019-10-16,275.7875061035156,294.6875,275.7875061035156,287.20001220703125,234.71827697753903,17496,0.0,0.0
2019-10-17,296.0,300.0,279.0,295.3374938964844,241.36871337890625,25044,0.0,0.0
2019-10-18,310.0,310.0,295.0,300.6875,245.74107360839844,19864,0.0,0.0
2019-10-22,310.0,310.0,282.51251220703125,296.8374938964844,242.59466552734372,28188,0.0,0.0
2019-10-23,297.5,305.2250061035156,297.0375061035156,302.0,246.81375122070312,26960,0.0,0.0
2019-10-24,311.23748779296875,311.23748779296875,299.98748779296875,301.79998779296875,246.65028381347656,4612,0.0,0.0
2019-10-25,311.0,321.25,302.51251220703125,316.4375,258.61297607421875,71760,0.0,0.0
2019-10-27,324.73748779296875,333.25,320.25,325.0249938964844,265.6311950683594,19848,0.0,0.0
2019-10-29,326.25,331.0,317.5,325.125,265.7129821777344,88912,0.0,0.0
2019-10-30,335.0,335.0,323.76251220703125,327.5625,267.7051086425781,89444,0.0,0.0
2019-10-31,328.01251220703125,333.5,328.0,331.86248779296875,273.3052062988281,165132,2.5,0.0
2019-11-01,331.25,334.75,330.2749938964844,332.7875061035156,274.0669860839844,96216,0.0,0.0
2019-11-04,333.0,338.25,315.2124938964844,328.76251220703125,270.752197265625,53556,0.0,0.0
2019-11-05,331.75,331.75,318.75,320.7250061035156,264.1329345703125,23288,0.0,0.0
2019-11-06,333.5,333.5,318.75,322.4624938964844,265.5638122558594,28080,0.0,0.0
2019-11-07,324.7250061035156,325.0,312.23748779296875,313.23748779296875,257.9665832519531,34124,0.0,0.0
2019-11-08,318.57501220703125,322.5,303.86248779296875,312.375,257.2562866210937,24232,0.0,0.0
2019-11-11,310.9750061035156,320.0,306.8999938964844,314.82501220703125,259.27392578125,23028,0.0,0.0
2019-11-13,312.0,312.0,302.75,308.7875061035156,254.30172729492188,54100,0.0,0.0
2019-11-14,315.0375061035156,315.04998779296875,301.5249938964844,305.95001220703125,251.9649810791016,14016,0.0,0.0
2019-11-15,305.82501220703125,315.26251220703125,303.75,307.3374938964844,253.10763549804688,50200,0.0,0.0
2019-11-18,302.26251220703125,308.5,302.26251220703125,304.07501220703125,250.4208068847656,15372,0.0,0.0
2019-11-19,304.4624938964844,311.0,304.4624938964844,306.95001220703125,252.78854370117188,23096,0.0,0.0
2019-11-20,320.75,320.75,307.6000061035156,310.0625,255.3518829345703,15648,0.0,0.0
2019-11-21,310.0,316.86248779296875,303.0625,311.7250061035156,256.7209777832031,56868,0.0,0.0
2019-11-22,306.75,318.48748779296875,303.0625,309.4125061035156,254.81655883789065,25476,0.0,0.0
2019-11-25,309.4125061035156,319.75,308.13751220703125,318.11248779296875,261.9814147949219,18524,0.0,0.0
2019-11-26,321.23748779296875,331.2250061035156,321.23748779296875,327.82501220703125,269.9801025390625,152500,0.0,0.0
